"","clone","replicate","lineage.id","tracking.id","n_frames","start_frame","total_path_length","final_displacement","volume","radius","sphericity","length.to.width.ratio","dry.mass","mean.speed"
"1","cloneA","1","5","5",4,1,6.95071983337402,4.05262327194214,1828.08825683594,18.9361367225647,0.343710340559483,2.88204088253128,457.021636962891,0.00167863486179461
"2","cloneA","1","6","6",10,1,42.0973739624023,6.19078636169434,1822.00861816406,21.5268432617187,0.242934629321098,2.44863631268367,455.501727294922,0.00338920555724245
"3","cloneA","1","7","7",58,1,342.286193847656,131.235214233398,1790.19229862608,21.1640014319584,0.246924356910689,3.47989472440928,447.547667930866,0.00417441599890018
"4","cloneA","1","8","8",43,3,383.466888427734,36.1697196960449,1388.32461902707,17.4864045520162,0.305428907968277,2.95426664148998,347.080834677053,0.00629104718533453
"5","cloneA","1","9","9",2,1,21.0809593200684,21.0809593200684,3476.50854492188,30.9197092056274,0.180047668516636,2.20315516275728,869.126373291016,0.0152649953961372
"6","cloneA","1","10","10",2,1,7.92941904067993,7.92941904067993,1759.07055664063,23.4604272842408,0.200014099478722,1.29482593489996,439.767242431641,0.00574179505929351
"7","cloneA","1","11","11",4,1,22.7960681915283,12.0545072555542,2315.30670166016,24.6928415298462,0.216769207268953,1.69351343725891,578.826141357422,0.0027325942646712
"8","cloneA","1","12","12",44,1,437.354766845703,87.7627182006836,1705.14556329901,19.4040704423731,0.288877489214594,2.68252155455395,426.285994789817,0.00668653922539941
"9","cloneA","1","13","13",29,1,331.786590576172,190.467697143555,2494.64590348869,23.2137895781418,0.256208506123773,3.34650050942556,623.660903404499,0.00730604078957445
"10","cloneA","1","14","14",2,1,10.8534383773804,10.8534383773804,2488.14990234375,27.2566366195678,0.184552416205406,3.32856402569824,622.036926269531,0.00785911548882723
"11","cloneA","1","16","16",3,1,28.0233211517334,28.012300491333,863.389912923177,15.207714398702,0.298308730125427,2.40105734390898,215.84726969401,0.0101509592495858
"12","cloneA","1","19","19",3,1,25.9152755737305,21.4822216033936,1143.39420572917,16.1773583094279,0.312766621510188,2.09553581319099,285.848297119141,0.00938600255176425
"13","cloneA","1","20","20",9,1,35.7799606323242,6.28608560562134,2477.60919867622,22.0399845971002,0.190239942736096,1.4145531679182,619.401730007595,0.00114250577007624
"14","cloneA","1","21","21",49,1,130.416427612305,6.97938108444214,2647.15058244978,23.7804893960758,0.250074552029979,1.42797460019415,661.787029655612,0.00172348995859768
"15","cloneA","1","22","22",20,1,239.103179931641,216.345809936523,1396.52430419922,18.1620401859284,0.284647791087627,2.26843822574157,349.130754089355,0.00847191305978125
"16","cloneA","1","23","23",25,1,264.219177246094,110.713790893555,1896.48730957031,21.8117315673828,0.240357514023781,3.09949572171598,474.121392822266,0.0051519432333104
"17","cloneA","1","24","24",60,1,571.631469726563,179.269866943359,1697.4203918457,19.3906821886698,0.285330560058355,3.57029338699403,424.354709370931,0.00669700531801998
"18","cloneA","1","25","25",51,1,14.3269166946411,1.77395915985107,1441.03664263557,19.3744828467276,0.255662025774226,1.53044902215795,360.258824965533,0.00020379833087645
"19","cloneA","1","33","33",3,2,42.695484161377,28.3396186828613,2316.83679199219,26.5507780710856,0.185098032156626,2.45128705937616,579.208679199219,0.00911632762290539
"20","cloneA","1","34","34",11,2,148.138137817383,127.830963134766,3551.04321289063,27.3548960252242,0.239576924930919,1.84357698855271,887.759976473722,0.00473088873550296
"21","cloneA","1","36","36",24,2,304.281982421875,98.9361572265625,1448.7230275472,18.6426640351613,0.279564851274093,2.20367170946319,362.180423736572,0.00907985972362044
