clone	replicate	tracking.id	n_frames	start_frame	total_path_length	final_displacement	volume	radius	mean.thickness	sphericity	length.to.width.ratio	dry.mass	mean.speed
A	1	7	58	1	342.2861938	131.2352142	1790.1922985862068	21.16400143189655	1.2605326278103448	0.2469243569137931	3.479894724396552	447.54766792931036	0.2504659221052632
A	1	12	44	1	437.3547668	87.7627182	1705.1455632954546	19.40407044159091	1.478135797159091	0.2888774892727273	2.682521554568182	426.2859947909091	0.40119238883720926
A	1	13	29	1	331.7865906	190.4676971	2494.6459035172415	23.21378957758621	1.4820212126551724	0.2562085060689655	3.34650050937931	623.6609034034483	0.4383634907142857
A	1	22	20	1	239.1031799	216.3458099	1396.5243042500001	18.1620401845	1.35419021255	0.28464779115	2.2684382256999998	349.130754095	0.5083147768421052
A	1	23	25	1	264.2191772	110.7137909	1896.48730952	21.8117315668	1.25929265496	0.24035751396	3.09949572172	474.121392828	0.309117465
A	1	24	60	1	571.6314697	179.2698669	1697.42039175	19.390682188833335	1.44496958055	0.2853305600666667	3.5702933870166667	424.3547093716667	0.401820320338983
A	1	34	11	2	148.1381378	127.8309631	3551.043212909091	27.354896025454547	1.539761250909091	0.23957692481818182	1.8435769886363635	887.7599764818182	0.28385332199999996
A	1	36	24	2	304.2819824	98.93615723	1448.7230274583333	18.642664035	1.350403279125	0.27956485120833335	2.203671709625	362.1804237375	0.5447915817391304
A	1	42	39	3	359.8017578	195.1682739	1622.5425055128205	19.49429468051282	1.3898999186923076	0.27834955394871796	2.784555436974359	405.6352531205128	0.32021262789473687
A	1	43	58	3	371.234375	150.795578	1765.7915638448276	20.646624400689657	1.3064333621724138	0.2570580922413793	2.742971739051724	441.4474839810345	0.2755215631578947
A	1	47	18	3	194.4997253	75.42732239	1330.3675909277777	18.66487805	1.2348775135	0.26293301094444443	1.6280183028333333	332.59158750555554	0.3100847188235294
A	1	49	12	3	147.271759	132.3401337	936.3687998833333	16.395869175	1.1148064085833334	0.27023119483333335	1.8910711385833334	234.09198505833334	0.51900108
A	1	56	8	4	107.5005188	87.10761261	1002.834060725	16.509578705	1.171503245625	0.275535590875	1.8536540885	250.7082901	0.5727770571428572
A	1	58	24	5	244.985611	130.2789917	1158.9920297833332	16.664854844166666	1.3403306503333332	0.3000141617916667	1.6529209895416668	289.74773534583335	0.4471919686956522
A	1	59	66	5	471.8479614	52.81929016	1141.7198653075757	16.574637875151517	1.3169304692424242	0.29796359892424246	2.019524915878788	285.4297039136364	0.30637207476923073
A	1	63	84	5	597.2336426	128.7879639	2086.6705249404763	23.049581505238095	1.2395452097261905	0.2324028921190476	1.683375688607143	521.6671476833334	0.2523292619277108
A	1	65	27	5	229.5001068	185.85849	1694.501424148148	19.928154485925926	1.3548015841851853	0.26840290151851853	2.4294766735925926	423.6249615814815	0.3034709492307692
