"clone","replicate","lineage.id","tracking.id","n_frames","start_frame","total_path_length","final_displacement","calculated_displacement","lineage_rootcell","left_censored","displacement_equal","lineage_equal"
"cloneA","1","5","5",4,1,6.95071983337402,4.05262327194214,4.05262328213936,TRUE,FALSE,FALSE,TRUE
"cloneA","1","6","6",10,1,42.0973739624023,6.19078636169434,6.19078636375603,TRUE,FALSE,FALSE,TRUE
"cloneA","1","7","7",58,1,342.286193847656,131.235214233398,131.23521664394,TRUE,FALSE,FALSE,TRUE
"cloneA","1","8","8",43,3,383.466888427734,36.1697196960449,48.8246158242424,FALSE,TRUE,FALSE,TRUE
"cloneA","1","9","9",2,1,21.0809593200684,21.0809593200684,21.0809591374848,TRUE,FALSE,FALSE,TRUE
"cloneA","1","10","10",2,1,7.92941904067993,7.92941904067993,7.92941889754325,TRUE,FALSE,FALSE,TRUE
"cloneA","1","11","11",4,1,22.7960681915283,12.0545072555542,12.0545072467897,TRUE,FALSE,FALSE,TRUE
"cloneA","1","12","12",44,1,437.354766845703,87.7627182006836,87.7627154571604,TRUE,FALSE,FALSE,TRUE
"cloneA","1","13","13",29,1,331.786590576172,190.467697143555,190.467689768143,TRUE,FALSE,FALSE,TRUE
"cloneA","1","14","14",2,1,10.8534383773804,10.8534383773804,10.8534387541511,TRUE,FALSE,FALSE,TRUE
"cloneA","1","15","15",1,1,0,0,0,TRUE,FALSE,TRUE,TRUE
"cloneA","1","16","16",3,1,28.0233211517334,28.012300491333,28.0123009901139,TRUE,FALSE,FALSE,TRUE
"cloneA","1","17","17",1,1,0,0,0,TRUE,FALSE,TRUE,TRUE
"cloneA","1","18","18",1,1,0,0,0,TRUE,FALSE,TRUE,TRUE
"cloneA","1","19","19",3,1,25.9152755737305,21.4822216033936,21.48222120217,TRUE,FALSE,FALSE,TRUE
"cloneA","1","20","20",9,1,35.7799606323242,6.28608560562134,6.28608537810048,TRUE,FALSE,FALSE,TRUE
"cloneA","1","21","21",49,1,130.416427612305,6.97938108444214,6.97938106694931,TRUE,FALSE,FALSE,TRUE
"cloneA","1","22","22",20,1,239.103179931641,216.345809936523,216.345805472091,TRUE,FALSE,FALSE,TRUE
"cloneA","1","23","23",25,1,264.219177246094,110.713790893555,110.71379385315,TRUE,FALSE,FALSE,TRUE
"cloneA","1","24","24",60,1,571.631469726563,179.269866943359,179.269871627167,TRUE,FALSE,FALSE,TRUE
"cloneA","1","25","25",51,1,14.3269166946411,1.77395915985107,1.77395921335267,TRUE,FALSE,FALSE,TRUE
"cloneA","1","26","26",1,2,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","27","27",1,2,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","28","28",1,2,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","29","29",1,2,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","30","30",1,2,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","31","31",1,2,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","32","32",1,2,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","33","33",3,2,42.695484161377,28.3396186828613,28.3396180181363,FALSE,TRUE,FALSE,TRUE
"cloneA","1","34","34",11,2,148.138137817383,127.830963134766,127.830962134449,FALSE,TRUE,FALSE,TRUE
"cloneA","1","36","36",24,2,304.281982421875,98.9361572265625,98.9361548035798,FALSE,TRUE,FALSE,TRUE
"cloneA","1","37","37",2,2,14.2738933563232,14.2738933563232,14.2738935045908,FALSE,TRUE,FALSE,TRUE
"cloneA","1","38","38",3,3,8.79075241088867,4.3865065574646,4.38650635058628,FALSE,TRUE,FALSE,TRUE
"cloneA","1","39","39",1,3,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","41","41",1,3,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","42","42",39,3,359.8017578125,195.168273925781,195.168269656081,FALSE,TRUE,FALSE,TRUE
"cloneA","1","43","43",58,3,371.234375,150.79557800293,150.795576513631,FALSE,TRUE,FALSE,TRUE
"cloneA","1","44","44",34,3,342.757385253906,19.8497333526611,19.8497339422291,FALSE,TRUE,FALSE,TRUE
"cloneA","1","45","45",3,3,9.18954563140869,9.02704620361328,9.02704588333031,FALSE,TRUE,FALSE,TRUE
"cloneA","1","46","46",2,3,5.21053838729858,5.21053838729858,5.21053818970565,FALSE,TRUE,FALSE,TRUE
"cloneA","1","47","47",18,3,194.499725341797,75.4273223876953,75.4273198567824,FALSE,TRUE,FALSE,TRUE
"cloneA","1","48","48",2,3,18.616641998291,18.616641998291,18.6166427623108,FALSE,TRUE,FALSE,TRUE
"cloneA","1","49","49",12,3,147.271759033203,132.340133666992,132.340130404058,FALSE,TRUE,FALSE,TRUE
"cloneA","1","50","50",44,3,294.905944824219,24.2745685577393,24.2745680657935,FALSE,TRUE,FALSE,TRUE
"cloneA","1","51","51",7,3,47.5564994812012,13.4432935714722,13.443294024109,FALSE,TRUE,FALSE,TRUE
"cloneA","1","52","52",1,4,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","54","54",1,4,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","55","55",1,4,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","56","56",8,4,107.500518798828,87.1076126098633,87.1076149065617,FALSE,TRUE,FALSE,TRUE
"cloneA","1","57","57",1,5,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","58","58",24,5,244.985610961914,130.278991699219,130.278986570757,FALSE,TRUE,FALSE,TRUE
"cloneA","1","59","59",66,5,471.847961425781,52.8192901611328,52.8192889374709,FALSE,TRUE,FALSE,TRUE
"cloneA","1","61","61",1,5,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","62","62",1,5,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","63","63",84,5,597.233642578125,128.787963867188,128.787966921286,FALSE,TRUE,FALSE,TRUE
"cloneA","1","64","64",1,5,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","65","65",27,5,229.500106811523,185.858489990234,185.858482759291,FALSE,TRUE,FALSE,TRUE
"cloneA","1","66","66",2,5,20.1911220550537,20.1911220550537,20.1911228231609,FALSE,TRUE,FALSE,TRUE
"cloneA","1","67","67",1,5,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","68","68",1,5,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","69","69",9,5,38.4599876403809,9.1926908493042,9.19269106469924,FALSE,TRUE,FALSE,TRUE
"cloneA","1","70","70",7,6,78.8811721801758,52.9855842590332,52.9855843696273,FALSE,TRUE,FALSE,TRUE
"cloneA","1","71","71",4,6,57.1474075317383,27.396656036377,27.3966554646751,FALSE,TRUE,FALSE,TRUE
"cloneA","1","72","72",6,6,57.7642517089844,10.290225982666,10.2902261239673,FALSE,TRUE,FALSE,TRUE
"cloneA","1","73","73",1,6,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","74","74",1,6,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","75","75",2,6,12.4840822219849,12.4840822219849,12.4840823516488,FALSE,TRUE,FALSE,TRUE
"cloneA","1","76","76",1,6,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","77","77",1,6,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","80","80",1,7,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","81","81",3,7,16.4950160980225,15.6846265792847,15.6846266984754,FALSE,TRUE,FALSE,TRUE
"cloneA","1","82","82",2,7,1.69653284549713,1.69653284549713,1.69653283093432,FALSE,TRUE,FALSE,TRUE
"cloneA","1","83","83",8,7,5.69058561325073,2.65167665481567,2.65167665660277,FALSE,TRUE,FALSE,TRUE
"cloneA","1","85","85",1,7,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","86","86",1,7,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","88","88",1,8,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","90","90",1,11,31.6790103912354,22.1885166168213,0,FALSE,TRUE,FALSE,TRUE
"cloneA","1","91","91",1,8,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","92","92",1,8,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","93","93",1,8,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","94","94",1,8,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","95","95",1,9,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","96","96",1,9,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","97","97",1,9,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","98","98",1,9,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","99","99",3,9,28.4760437011719,28.398042678833,28.398042487971,FALSE,TRUE,FALSE,TRUE
"cloneA","1","101","101",1,10,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","102","102",1,10,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","103","103",8,10,61.6209716796875,39.5567436218262,39.5567435742749,FALSE,TRUE,FALSE,TRUE
"cloneA","1","104","104",1,10,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","106","106",3,10,5.38342761993408,5.34897422790527,5.34897444718592,FALSE,TRUE,FALSE,TRUE
"cloneA","1","107","107",1,10,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","108","108",13,10,91.3564071655273,21.3343162536621,21.3343153745996,FALSE,TRUE,FALSE,TRUE
"cloneA","1","110","110",1,10,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","111","111",1,11,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","112","112",1,11,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","113","113",1,11,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","114","114",4,11,44.3567504882813,43.9860992431641,43.9860983219617,FALSE,TRUE,FALSE,TRUE
"cloneA","1","115","115",3,11,33.9383239746094,33.353343963623,33.3533457501776,FALSE,TRUE,FALSE,TRUE
"cloneA","1","117","117",3,11,1.45612025260925,1.45557391643524,1.45557394220413,FALSE,TRUE,FALSE,TRUE
"cloneA","1","118","118",1,11,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","119","119",1,11,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","120","120",1,12,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","121","121",1,12,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","1","122","122",56,12,459.187103271484,158.883239746094,158.883234415295,FALSE,TRUE,FALSE,TRUE
"cloneA","1","123","123",11,12,76.8186111450195,42.9878196716309,42.9878194490815,FALSE,TRUE,FALSE,TRUE
"cloneA","1","124","124",1,12,0,0,0,FALSE,TRUE,TRUE,TRUE
