clone,replicate,LID,TID,track.duration,track.length,meandering.index,euclidean.distance,mean.speed,track.present.at.start.or.end,track.never.divides,cell.line,tracking.id,lineage.id,n_frames,start_frame,total_path_length,final_displacement,calculated_displacement,lineage_rootcell,left_censored,displacement_equal,lineage_equal
cloneB,2,8,3,1219,466.623,0.581951502,271.5519558,0.382791632,FALSE,FALSE,B2,2135,2135,76,97,435.0082703,276.0840454,276.0840302,FALSE,TRUE,FALSE,TRUE
cloneA,1,8,4,2001,910.025,0.062979767,57.31316235,0.454785107,FALSE,FALSE,B2,1236,1236,47,159,335.3482666,176.2058868,176.2058921,FALSE,TRUE,FALSE,TRUE
cloneB,2,8,4,2001,910.025,0.062979767,57.31316235,0.454785107,FALSE,FALSE,B2,1899,1899,10,83,72.73157501,57.32216644,57.32216516,FALSE,TRUE,FALSE,TRUE
cloneA,1,8,5,2024,654.924,0.306320753,200.6168129,0.323579051,TRUE,FALSE,B2,1618,1618,32,199,229.7579346,139.6580353,139.6580288,FALSE,TRUE,FALSE,TRUE
cloneB,2,8,5,2024,654.924,0.306320753,200.6168129,0.323579051,TRUE,FALSE,B2,4914,4914,47,212,361.3531189,201.502655,201.5026605,FALSE,TRUE,FALSE,TRUE
cloneA,1,8,6,2231,619.677,0.248143814,153.7690141,0.277757508,TRUE,FALSE,B2,525,525,77,74,680.6998901,365.577301,365.5773103,FALSE,TRUE,FALSE,TRUE
cloneB,2,8,6,2231,619.677,0.248143814,153.7690141,0.277757508,TRUE,FALSE,B2,3960,3960,76,183,486.0917664,153.1083527,153.1083589,FALSE,TRUE,FALSE,TRUE
cloneA,1,8,7,2208,592.305,0.266763443,158.0053209,0.268254076,FALSE,FALSE,B2,1445,1445,72,179,573.78479,237.7076721,237.7076684,FALSE,TRUE,FALSE,TRUE
cloneB,2,8,7,2208,592.305,0.266763443,158.0053209,0.268254076,FALSE,FALSE,B2,1745,1745,11,72,170.5019073,158.7362976,158.7362917,FALSE,TRUE,FALSE,TRUE
cloneA,1,9,1,943,158.763,0.254834613,40.45830763,0.168359491,TRUE,FALSE,B2,843,843,42,116,446.1505127,320.3253479,320.3253535,FALSE,TRUE,FALSE,TRUE
cloneB,2,9,1,943,158.763,0.254834613,40.45830763,0.168359491,TRUE,FALSE,B2,3808,3808,13,177,68.66748047,40.50542068,40.50541919,FALSE,TRUE,FALSE,TRUE
cloneA,1,9,2,2254,567.504,0.437901225,248.510697,0.251776398,FALSE,FALSE,B2,1230,1230,80,158,699.3121948,428.8816528,428.881642,FALSE,TRUE,FALSE,TRUE
cloneB,2,9,2,2254,567.504,0.437901225,248.510697,0.251776398,FALSE,FALSE,B2,2086,2086,110,94,649.0081177,246.4599457,246.4599513,FALSE,TRUE,FALSE,TRUE
cloneA,1,9,3,1909,636.144,0.128618771,81.82005916,0.333234154,FALSE,FALSE,B2,1230,1230,80,158,699.3121948,428.8816528,428.881642,FALSE,TRUE,FALSE,TRUE
cloneB,2,9,3,1909,636.144,0.128618771,81.82005916,0.333234154,FALSE,FALSE,B2,40,40,31,2,278.8362427,81.65911865,73.89798361,FALSE,TRUE,FALSE,TRUE
cloneA,1,9,4,2806,905.361,0.294579997,266.7012405,0.322651818,TRUE,FALSE,B2,1144,1144,101,149,493.4305115,374.3514709,374.3514736,FALSE,TRUE,FALSE,TRUE
cloneB,2,9,4,2806,905.361,0.294579997,266.7012405,0.322651818,TRUE,FALSE,B2,4162,4162,47,189,399.3024597,261.8253784,261.8253823,FALSE,TRUE,FALSE,TRUE
cloneA,1,9,5,2806,728.045,0.035235754,25.65321422,0.259460086,TRUE,FALSE,B2,885,885,110,121,468.0360107,418.9890747,418.9890644,FALSE,TRUE,FALSE,TRUE
cloneB,2,9,5,2806,728.045,0.035235754,25.65321422,0.259460086,TRUE,FALSE,B2,6228,6228,3,247,26.17907715,25.64987183,25.64987248,FALSE,TRUE,FALSE,TRUE
cloneA,1,9,6,2231,612.593,0.125021543,76.58732219,0.27458225,FALSE,FALSE,B2,1744,1744,19,213,220.9429474,218.1969604,218.196954,FALSE,TRUE,FALSE,TRUE
cloneB,2,9,6,2231,612.593,0.125021543,76.58732219,0.27458225,FALSE,FALSE,B2,2575,2575,8,122,144.5131226,76.55847931,76.55847901,FALSE,TRUE,FALSE,TRUE
cloneA,1,9,7,2438,495.064,0.566752143,280.5785831,0.203061526,FALSE,FALSE,B2,525,525,77,74,680.6998901,365.577301,365.5773103,FALSE,TRUE,FALSE,TRUE
cloneB,2,9,7,2438,495.064,0.566752143,280.5785831,0.203061526,FALSE,FALSE,B2,3972,3972,56,183,396.836853,282.8839722,282.883961,FALSE,TRUE,FALSE,TRUE
cloneB,2,9,8,874,229.277,0.794473395,182.1544767,0.262330664,FALSE,FALSE,B2,5688,5688,26,234,243.9260406,183.3078308,183.3078233,FALSE,TRUE,FALSE,TRUE
cloneB,2,9,9,874,201.771,0.457576832,92.32573505,0.230859268,FALSE,FALSE,B2,1489,1489,17,58,156.2754211,92.34081268,92.34081136,FALSE,TRUE,FALSE,TRUE
cloneB,2,9,10,690,119.761,0.499827618,59.85985537,0.173566667,TRUE,FALSE,B2,2986,2986,13,148,137.2691498,59.84022141,41.69636676,FALSE,TRUE,FALSE,TRUE
cloneB,2,9,11,690,201.843,0.839752097,169.4980826,0.292526087,TRUE,FALSE,B2,4712,4712,45,205,242.1464996,171.193924,171.193927,FALSE,TRUE,FALSE,TRUE
