clone	replicate	tracking.id	n_frames	start_frame	total_path_length	final_displacement	volume	radius	mean.thickness	sphericity	length.to.width.ratio	dry.mass	mean.speed
A	1	160	12	17	120.4046021	108.2671127	1078.0602314	17.160065411666665	1.1823770403333334	0.27194099375	2.4032850821666667	269.51479975	0.4758816381818182
A	1	163	36	18	293.190918	25.23620224	2052.233415472222	20.910200145555557	1.5291268659722221	0.2833845217777778	2.6158788477777777	513.0578723472222	0.3130841417142857
A	1	167	2	19	5.618641853	5.618641853	539.70721435	12.429915905	1.1156268715	0.3045653255	2.6978146389999997	134.9266739	0.24428879999999997
A	1	168	2	19	11.57735538	11.57735538	1016.151825	15.190765859999999	1.4037670494999999	0.323205337	3.183880796	254.037735	0.50336328
A	1	169	5	28	76.21076202	49.8585434	1526.524414	20.967226791999998	1.105350542	0.2271111758	2.3190806838	381.6307495	0.22607080799999998
A	1	171	10	20	77.72880554	44.5299263	2461.8510742	22.717975235	1.5253998042	0.2617444113	1.2169660295	615.46220704	0.25348116
A	1	174	5	20	35.38562012	10.70181847	736.38320314	14.437460328	1.1234391452	0.2940383674	1.994383929	184.09563291999999	0.22051691999999998
A	1	175	25	20	259.1928406	199.8091125	1586.25656256	18.299809532	1.51936976436	0.30647923112000003	2.4190418346800002	396.563775636	0.44716362
A	1	176	26	20	267.9507141	231.4990997	1277.9679096538462	18.473826334615385	1.200850193346154	0.26090819446153846	3.1644846408846155	319.4916792653846	0.43208921040000003
A	1	183	26	23	200.123703	13.93311596	1857.399306153846	20.332283644615384	1.4502139183076923	0.2772239252692308	3.136492436153846	464.34939927692307	0.31624157076923076
A	1	190	4	24	7.568177223	4.480456352	1309.50268575	16.1875998975	1.5291296245	0.246467896	1.223089184	327.375366225	0.03892394
A	1	193	6	25	86.7257309	85.02474976	1239.4452108333332	18.600276628333333	1.1415640511666667	0.2504300151666667	2.007627105666667	309.86101786666666	0.5462112
A	1	194	15	25	177.0646057	31.74406242	2068.2632078666666	22.289391454666667	1.3279573123333333	0.24528323506666666	2.7786278141333334	517.0653198266667	0.5051794371428572
A	1	198	6	26	92.87230682	28.71552277	3575.8752441666666	25.36182785	1.7704563138333334	0.2666300685	1.619690107	893.96798705	0.38507484000000003
A	1	201	3	26	21.60405159	21.60090828	796.8160807333334	15.085900943333334	1.1142308316666667	0.2840376096666667	1.266725686	199.20383706666667	0.46965327
A	1	202	1	30	33.76356125	33.76356125	2683.87207	27.13539124	1.160218239	0.197064579	1.945942211	670.9674072	0.36699521999999996
A	1	205	3	27	14.26480579	14.25119781	1358.4295653333334	17.591002146666668	1.4370912713333333	0.295903484	1.824982321	339.6070658666667	0.17938926
A	1	211	10	28	130.0392151	125.8830643	1691.9903321	20.98238144	1.2215984821	0.2431212543	2.3762173298000002	422.99718322	0.51330376
A	1	213	23	28	245.4764252	118.2032318	1906.5924708695652	19.454151402608694	1.6186179957826088	0.30358315030434785	2.6735363060869566	476.6476772217391	0.4851154445454545
A	1	215	3	29	7.390988827	5.901055336	1133.526306	18.041469576666668	1.1057041486666666	0.250201156	2.526118353	283.3813273	0.16067367
A	1	218	17	30	197.6687775	179.3461304	932.1950647882353	14.988549569411765	1.3283955770588236	0.3209027877058824	1.5791619518235294	233.04855345882353	0.5371172325
A	1	220	53	30	377.6369324	151.0854034	2404.5594643018867	22.03917517716981	1.5741074625471698	0.2792707220943396	1.7680458407735848	601.1393046830188	0.08286170653846153
A	1	226	4	32	63.38645172	63.22722244	858.90715025	15.2602226725	1.1833411155	0.29377487675	1.8379841502499998	214.7265892	0.7347146800000001
A	1	227	10	32	78.17462921	75.006073	1302.5788209	17.855956841	1.3209832787	0.28561216	2.0207303778	325.64439697	0.3776145
A	1	229	2	33	15.318964	15.318964	2494.251343	25.773249625	1.195251107	0.2092359815	2.1086819625	623.56228635	0.6660418800000001
A	1	232	2	33	7.101636887	7.101636887	909.7532654	13.948262215	1.501057029	0.345927104	1.9183977065	227.43810274999998	0.30876684
A	1	234	20	34	249.7436981	91.48400116	2744.7458619	21.4619808205	1.89548510305	0.3048595144	1.9964177573	686.185835275	0.2860325463157895
A	1	237	36	35	265.7897034	59.63366699	1496.3452826944444	20.26427465	1.1572239729444445	0.23901187086111111	2.440500009861111	374.0859739527778	0.33014504057142857
A	1	241	59	35	402.5882263	86.56422424	1754.724472779661	20.869251606440677	1.2924372623898306	0.25177687511864405	4.639291669813559	438.68070751694916	0.29695895793103444
A	1	244	8	36	50.43477631	44.92886353	3165.609344625	29.82724786	1.131081015	0.18142943475	2.6841667265	791.4016189499999	0.23065006285714285
A	1	245	17	36	103.4532318	78.71352386	1514.7603688235295	20.050862817647058	1.2050390033529412	0.2466471054117647	3.6246920490588233	378.68974215294116	0.27540513
A	1	246	16	36	114.1550751	73.2125473	1450.5529251875	18.689767599375	1.3276640289375	0.274378919	3.65852862725	362.63789940624997	0.325547108
A	1	255	42	38	314.1904297	174.0710754	2325.8832978571427	22.625810941904763	1.4477024419761906	0.25604042488095236	3.0132496095714285	581.4702889571429	0.307573287804878
A	1	257	2	38	0.366709024	0.366709024	1431.5025025	16.652552605	1.657502711	0.33764910699999995	1.3014081229999999	357.87530515000003	0.015960000000000002
A	1	259	2	39	4.057127953	4.057127953	432.5426483	7.8500950335	2.241777897	0.565508187	1.3970847835	108.13557055	0.17639688
A	1	262	3	39	19.30120468	19.29449272	1758.5754803333334	23.059311546666667	1.0532402596666666	0.205928842	1.4595911113333333	439.64346313333334	0.4195914
A	1	264	5	39	24.27067375	23.25800705	1433.2220948	19.084677122	1.256093073	0.2626342654	1.6496217774	358.30516968	0.26381166
A	1	265	18	39	127.63615419999999	38.56467819	1374.5382758166666	18.128372244444446	1.3399486939444445	0.28555526494444444	2.5111124451666664	343.63424682777776	0.31910630470588236
A	1	268	3	40	3.289212704	3.066165209	457.34935506666665	10.947630881666667	1.2247197626666666	0.3591316043333333	1.6349337736666667	114.33723450000001	0.07150101
A	1	269	7	40	62.02187347	54.80893707	1944.0718994285714	23.200258527142857	1.1506033285714286	0.21828188842857144	2.5579906505714285	486.01753015714286	0.39244848000000004
A	1	271	1	48	95.85486603	26.78275299	3971.313965	29.30957413	1.471487284	0.218257561	1.067993323	992.8275757	1.62609918
A	1	275	13	41	85.73987579	77.17359161	1159.9079119230769	17.49852701153846	1.232053188076923	0.272678193	4.027610564461538	289.9767150923077	0.31062892
A	1	276	2	41	4.619604588	4.619604588	1262.6325685	14.27021408	2.1125456094999997	0.43869143749999995	2.4776157425	315.65783695000005	0.20085234000000002
A	1	280	53	42	362.6354675	71.41984558	2467.9215179433963	23.461644190566037	1.422753523	0.2482350103207547	2.7585528353396227	616.9798117603774	0.2866461819230769
A	1	285	14	42	165.9833679	144.8765259	1112.2270681785715	16.557902404285716	1.2899911999285714	0.2945340115	1.4689057282857143	278.05650439285716	0.5551029830769231
A	1	288	2	43	10.76447105	10.76447105	596.2753601	9.7998518955	2.013931334	0.46567098799999995	1.5785254155000001	149.0687103	0.46802052
A	1	289	2	43	9.620447159	9.620447159	1912.44751	20.589813235	1.43507874	0.2702602595	1.774695618	478.11143495	0.41828028
A	1	293	10	44	80.17053986	70.22871399	2340.7243895	25.125825882	1.1881886722	0.2132864608	2.270555361	585.18052978	0.24316283333333333
A	1	295	5	44	2.96535778	0.962786973	314.09827272	8.4600276946	1.3965696574	0.4397006216	1.6466580346	78.52449646	0.011424
A	1	296	5	44	30.12896347	7.563201427	2371.0552246	23.225605394000002	1.4112812518	0.24983926139999998	3.319170634	592.76323242	0.32748874499999997
A	1	297	2	44	4.493302345	4.493302345	379.56385805	10.525550365	1.0942271350000001	0.349567324	1.852567712	94.89088821499999	0.19536096
A	1	299	6	45	36.93113327	11.42116165	1045.0160726	15.513899645	1.3939906556666668	0.32176670933333335	2.8723787015	261.2537841833333	0.300623064
A	1	300	9	45	69.44246674	59.65483856	1136.6533542222223	17.15788692888889	1.2374426655555555	0.27705806988888887	3.460589295888889	284.16307068888887	0.30685785
A	1	303	7	46	35.25692749	21.5308075	1335.0633892857143	19.39693587142857	1.130870104	0.24213000271428572	1.7341521864285714	333.76554652857146	0.25546029
