LID,TID,tracking.id,track.length,total_path_length,euclidean.distance,final_displacement,mean.speed_manual,mean.speed_livecyte,cell.line,clone,replicate
3,3,1101,1140.36,662.414978,25.52293684,24.64881134,0.54484472,0.005373196,A1,cloneA,1
3,4,525,1207.565,680.6998901,358.2714976,365.577301,0.468775233,0.005979293,A1,cloneA,1
3,5,24,1157.447,571.6314697,162.0125946,179.2698669,0.38710602,0.006697005,A1,cloneA,1
3,6,1144,509.618,493.4305115,336.9401189,374.3514709,0.503575099,0.003118044,A1,cloneA,1
3,7,24,946.558,571.6314697,156.8952034,179.2698669,0.514433696,0.006697005,A1,cloneA,1
3,8,1538,350.432,353.3253479,308.1022584,307.7530518,0.564302738,0.003486665,A1,cloneA,1
3,9,1495,270.977,273.6463013,180.0563868,171.3504028,0.453138796,0.003316636,A1,cloneA,1
4,1,932,413.709,426.7359314,200.9723318,194.2303619,0.580237027,0.002243075,A1,cloneA,1
4,2,442,513.025,456.6655579,289.4446599,292.6361694,0.391323417,0.00228411,A1,cloneA,1
4,3,1760,316.408,303.2902527,157.1535597,156.5107727,0.259563577,0.005347513,A1,cloneA,1
4,4,1230,871.95,699.3121948,573.9552793,428.8816528,0.526539855,0.006151805,A1,cloneA,1
4,5,1230,702.706,699.3121948,574.5523803,428.8816528,0.470037458,0.006151805,A1,cloneA,1
4,6,1271,834.639,608.9274292,257.5541468,266.0681152,0.525922495,0.005086045,A1,cloneA,1
4,7,1230,855.568,699.3121948,435.8005387,428.8816528,0.495981449,0.006151805,A1,cloneA,1
4,8,766,503.517,487.6856995,254.6764146,251.5574188,0.208495652,0.005076007,A1,cloneA,1
4,9,525,1176.674,680.6998901,376.9486928,365.577301,0.482639048,0.005979293,A1,cloneA,1
4,10,1230,774.832,699.3121948,411.4149171,428.8816528,0.41083351,0.006151805,A1,cloneA,1
4,11,1230,992.601,699.3121948,431.4899424,428.8816528,0.459112396,0.006151805,A1,cloneA,1
4,12,899,186.532,189.655014,112.6071819,116.9246826,0.477063939,0.004418227,A1,cloneA,1
4,13,1879,178.361,201.8777771,26.04525003,24.51780319,0.45616624,0.004300898,A1,cloneA,1
4,14,1230,965.399,699.3121948,483.9204088,428.8816528,0.428304791,0.006151805,A1,cloneA,1
4,15,1230,778.39,699.3121948,424.5481295,428.8816528,0.554803991,0.006151805,A1,cloneA,1
4,16,1559,352.838,360.1300964,83.95970102,75.37095642,0.528992504,0.00377484,A1,cloneA,1
4,17,1255,272.739,271.0300903,187.0731586,201.6960449,0.408904048,0.00574624,A1,cloneA,1
4,18,1230,970.779,699.3121948,553.0203459,428.8816528,0.479633893,0.006151805,A1,cloneA,1
4,19,525,835.371,680.6998901,372.0995064,365.577301,0.54209669,0.005979293,A1,cloneA,1
4,20,1423,437.449,439.9593201,107.7443796,120.805542,0.559397698,0.004578551,A1,cloneA,1
4,21,44,389.749,342.7573853,19.8350238,19.84973335,0.498400256,0.005462559,A1,cloneA,1
4,22,1023,111.955,109.6979904,101.0457861,100.2793503,0.442509881,0.008499706,A1,cloneA,1
4,23,963,83.49,84.34494019,65.94926306,67.84694672,0.33,0.004393232,A1,cloneA,1
5,1,1043,568.971,567.2178955,318.4868252,279.0410461,0.515372283,0.004815091,A1,cloneA,1
5,2,24,1005.48,571.6314697,164.2743113,179.2698669,0.390326087,0.006697005,A1,cloneA,1
5,3,1073,1019.837,599.088623,203.5941105,186.2175446,0.434713129,0.003817043,A1,cloneA,1
5,4,24,558.373,571.6314697,186.8351249,179.2698669,0.238010656,0.006697005,A1,cloneA,1
5,5,1392,730.982,686.3935547,325.9887393,326.684967,0.31158653,0.008773003,A1,cloneA,1
5,6,560,1019.776,563.1832886,207.7829161,215.2829742,0.395875776,0.004246189,A1,cloneA,1
5,7,731,790.942,621.3228149,47.00041908,52.65205383,0.307042702,0.003525281,A1,cloneA,1
