,clone,replicate,tracking.id,total_path_length,final_displacement,mean.speed,,,,,,,,
86,cloneA,1,218,197.6687775,179.3461304,0.008951954,,,,,,,,
87,cloneA,1,220,377.6369324,151.0854034,0.001380996,,,,,,,,
88,cloneA,1,226,63.38645172,63.22722244,0.012245245,,,,,,,,
89,cloneA,1,227,78.17462921,75.006073,0.006293575,,,,,,,,
90,cloneA,1,229,15.318964,15.318964,0.011100698,,,,,,,,
91,cloneA,1,232,7.101636887,7.101636887,0.005146114,,,,,,,,
92,cloneA,1,234,249.7436981,91.48400116,0.004767199,,,,,,,,
93,cloneA,1,237,265.7897034,59.63366699,0.005502418,,,,,,,,
94,cloneA,1,241,402.5882263,86.56422424,0.004949327,,,,,,,,
95,cloneA,1,244,50.43477631,44.92886353,0.003844162,,,,,,,,
96,cloneA,1,245,103.4532318,78.71352386,0.004590087,,,,,,,,
97,cloneA,1,246,114.1550751,73.2125473,0.0054258,,,,,,,,
98,cloneA,1,255,314.1904297,174.0710754,0.005126226,,,,,,,,
99,cloneA,1,257,0.366709024,0.366709024,0.000265731,,,,,,,,
100,cloneA,1,259,4.057127953,4.057127953,0.002939948,,,,,,,,
101,cloneA,1,262,19.30120468,19.29449272,0.00699319,,,,,,,,
102,cloneA,1,264,24.27067375,23.25800705,0.004396861,,,,,,,,
103,cloneA,1,265,127.6361542,38.56467819,0.005318435,,,,,,,,
104,cloneA,1,268,3.289212704,3.066165209,0.001191744,,,,,,,,
105,cloneA,1,269,62.02187347,54.80893707,0.006540808,,,,,,,,
106,cloneA,1,271,95.85486603,26.78275299,0.027101653,,,,,,,,
107,cloneA,1,275,85.73987579,77.17359161,0.005177149,,,,,,,,
108,cloneA,1,276,4.619604588,4.619604588,0.003347539,,,,,,,,
109,cloneA,1,280,362.6354675,71.41984558,0.004777441,,,,,,,,
110,cloneA,1,285,165.9833679,144.8765259,0.009251716,,,,,,,,
111,cloneA,1,288,10.76447105,10.76447105,0.007800342,,,,,,,,
112,cloneA,1,289,9.620447159,9.620447159,0.006971338,,,,,,,,
113,cloneA,1,293,80.17053986,70.22871399,0.004052714,,,,,,,,
114,cloneA,1,295,2.96535778,0.962786973,0.00019032,,,,,,,,
115,cloneA,1,296,30.12896347,7.563201427,0.005458146,,,,,,,,
116,cloneA,1,297,4.493302345,4.493302345,0.003256016,,,,,,,,
117,cloneA,1,299,36.93113327,11.42116165,0.005010384,,,,,,,,
118,cloneA,1,300,69.44246674,59.65483856,0.005114352,,,,,,,,
119,cloneA,1,303,35.25692749,21.5308075,0.004257671,,,,,,,,
120,cloneA,1,304,339.7819824,196.3011169,0.004094115,,,,,,,,
121,cloneA,1,306,45.88083267,45.87258148,0.01662349,,,,,,,,
122,cloneA,1,308,14.29845905,13.78737545,0.005179755,,,,,,,,
123,cloneA,1,309,20.73918152,15.74521065,0.005009354,,,,,,,,
124,cloneA,1,310,35.09284592,34.2359581,0.008474303,,,,,,,,
125,cloneA,1,311,88.5247879,4.81060648,0.006610425,,,,,,,,
126,cloneA,1,314,37.8209877,37.47435379,0.008344237,,,,,,,,
127,cloneA,1,315,56.63305283,48.76114655,0.005860962,,,,,,,,
128,cloneA,1,316,27.17453766,27.0946579,0.004853645,,,,,,,,
129,cloneA,1,317,72.72235107,46.99850464,0.005550316,,,,,,,,
130,cloneA,1,319,50.74420929,19.43741417,0.012257056,,,,,,,,
131,cloneA,1,320,29.80612946,27.55950165,0.005399661,,,,,,,,
132,cloneA,1,323,117.2842636,97.81845856,0.006939441,,,,,,,,
133,cloneA,1,324,47.09248352,45.61669159,0.011374996,,,,,,,,
134,cloneA,1,325,2.845484734,2.845484734,0.000412389,,,,,,,,
135,cloneA,1,327,27.58000755,27.43449593,0.009992756,,,,,,,,
136,cloneA,1,328,584.5267944,12.76665688,0.007658007,,,,,,,,
137,cloneA,1,329,53.79875183,28.70024872,0.004116543,,,,,,,,
138,cloneA,1,331,69.53574371,68.46863556,0.012597054,,,,,,,,
139,cloneA,1,340,2.873963833,2.054092884,0.000398207,,,,,,,,
140,cloneA,1,341,6.248364925,1.775469184,0.000956532,,,,,,,,
141,cloneA,1,343,23.71736526,7.195617199,0.005039831,,,,,,,,
142,cloneA,1,348,164.3664856,158.4641876,0.008811901,,,,,,,,
143,cloneA,1,349,124.3782425,67.68642426,0.002994839,,,,,,,,
144,cloneA,1,352,13.19784069,13.17949295,0.004781827,,,,,,,,
145,cloneA,1,353,11.29557323,9.301157951,0.004092599,,,,,,,,
146,cloneA,1,355,158.5029602,24.25940704,0.007996133,,,,,,,,
147,cloneA,1,357,5.072553158,5.072553158,0.003675763,,,,,,,,
148,cloneA,1,359,4.145060539,4.145060539,0.001501834,,,,,,,,
149,cloneA,1,360,36.22390366,36.05258179,0.013124602,,,,,,,,
150,cloneA,1,361,29.6165638,29.1476593,0.00715376,,,,,,,,
151,cloneA,1,362,12.22576332,12.22576332,0.008859249,,,,,,,,
152,cloneA,1,363,21.78707695,21.78707695,0.015787737,,,,,,,,
153,cloneA,1,364,7.803321362,7.803321362,0.00282729,,,,,,,,
154,cloneA,1,365,3.651769638,3.651769638,0.00264621,,,,,,,,
155,cloneA,1,370,27.09988594,27.09988594,0.019637598,,,,,,,,
156,cloneA,1,372,66.47885132,66.41558075,0.016057693,,,,,,,,
157,cloneA,1,373,25.09887123,24.8041687,0.009093794,,,,,,,,
158,cloneA,1,374,37.4082756,34.80439377,0.004517649,,,,,,,,
159,cloneA,1,375,84.77250671,79.64376068,0.008060257,,,,,,,,
160,cloneA,1,377,90.7327652,41.99031067,0.006655781,,,,,,,,
161,cloneA,1,380,158.0023041,81.49036407,0.005885485,,,,,,,,
162,cloneA,1,381,23.97631836,9.245961189,0.002895572,,,,,,,,
163,cloneA,1,384,314.9540405,207.5753784,0.006471531,,,,,,,,
164,cloneA,1,385,42.14466095,42.12032318,0.01017987,,,,,,,,
165,cloneA,1,386,118.1144638,83.47023773,0.007869865,,,,,,,,
166,cloneA,1,393,64.15258789,61.8535881,0.009307588,,,,,,,,
167,cloneA,1,401,41.87026978,41.80595398,0.009277882,,,,,,,,
168,cloneA,1,402,29.45626068,29.44661331,0.007910662,,,,,,,,
169,cloneA,1,403,10.51142216,10.51142216,0.007616973,,,,,,,,
170,cloneA,1,405,78.47589111,21.98864937,0.006261551,,,,,,,,
171,cloneA,1,406,87.88809204,87.84673309,0.012735919,,,,,,,,
172,cloneA,1,409,11.79067993,6.356335163,0.004270519,,,,,,,,
173,cloneA,1,410,58.96981049,12.00601864,0.005890789,,,,,,,,
174,cloneA,1,411,62.33534241,5.078176022,0.00089712,,,,,,,,
175,cloneA,1,412,143.4059296,84.44193268,0.006388209,,,,,,,,
176,cloneA,1,413,13.83072758,13.83072758,0.010015009,,,,,,,,
177,cloneA,1,419,9.064432144,9.064432144,0.006568429,,,,,,,,
178,cloneA,1,420,6.506009579,6.506009579,0.0047145,,,,,,,,
179,cloneA,1,421,104.1971817,34.61935425,0.006864109,,,,,,,,
180,cloneA,1,425,155.3811188,125.2946167,0.007242826,,,,,,,,
181,cloneA,1,426,30.24796867,30.24796867,0.021918818,,,,,,,,
182,cloneA,1,427,146.8315887,136.7721863,0.005876286,,,,,,,,
183,cloneA,1,430,101.7544403,100.3182373,0.008542671,,,,,,,,
184,cloneA,1,431,18.30713272,9.584713936,0.004985117,,,,,,,,
185,cloneA,1,435,117.5673141,99.17592621,0.009465968,,,,,,,,
186,cloneA,1,436,191.7837524,130.2964935,0.009307817,,,,,,,,
187,cloneA,1,437,108.3348999,85.67293549,0.01570071,,,,,,,,
188,cloneA,1,438,57.28937531,55.89725876,0.01037851,,,,,,,,
189,cloneA,1,442,456.6655579,292.6361694,0.00228411,,,,,,,,
190,cloneA,1,443,85.79321289,83.06521606,0.005276258,,,,,,,,
191,cloneA,1,444,120.0072098,93.34774017,0.008695892,,,,,,,,
192,cloneA,1,445,192.6356201,108.3517456,0.008477495,,,,,,,,
193,cloneA,1,447,439.6700134,267.5538025,0.006702609,,,,,,,,
194,cloneA,1,450,25.32304573,22.04448891,0.004587508,,,,,,,,
